id,latitude,longitude,deities_recorded,deity_groups,families,structure,images_present,temple_name,distance_to_ganga_m,hotspot_class
1198,25.315072,83.018302,"Siva,Siva-Parvati,Hanuman","Hanuman,Shiva,Shiva-Parvati","Hanuman,Shaiva",Built into a wall,5,,0,3
1199,25.315134,83.018265,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,7,3
1200,25.315138,83.018436,"__ Maa,Devi","Devi,Local Maa",Goddess,Built into a wall,1,,0,3
1201,25.315165,83.018313,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,4,,6,3
1202,25.315203,83.018238,"Siva,Siva-Parvati,Siva family","Shiva,Shiva family,Shiva-Parvati",Shaiva,Built into a wall,4,,14,3
1203,25.315131,83.018222,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,9,3
1204,25.315141,83.018239,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,9,3
1205,25.315149,83.018173,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,14,3
1206,25.314954,83.018145,"__ Maa,Devi","Devi,Local Maa",Goddess,Built into a wall,1,,0,3
1207,25.315084,83.018122,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,3,,12,3
1208,25.315177,83.018145,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,18,3
1209,25.315041,83.018078,"Siva,Siva-Parvati,Siva family","Shiva,Shiva family,Shiva-Parvati",Shaiva,Built into a wall,25,,9,3
1210,25.31497,83.018007,"Siva,Siva-Parvati,Siva family","Shiva,Shiva family,Shiva-Parvati",Shaiva,Built into a wall,7,,4,3
1211,25.315349,83.018202,"RAMA,Rama-Sita,Rama family",Rama,Vaishnava,Built into a wall,4,Shri math Rama temple,26,3
1212,25.333416,82.999676,Siva,Shiva,Shaiva,"Free-standing,Tree-temple",1,,181,0
1213,25.330815,83.002395,"Other,Siva","Other,Shiva","Other,Shaiva","Free-standing,Tree-temple,Temple complex",3,,482,0
1214,25.330153,83.003207,Siva,Shiva,Shaiva,Tree,1,,584,0
1215,25.329268,82.999848,Siva,Shiva,Shaiva,Free-standing,1,,372,0
1216,25.329072,83.000565,Hanuman,Hanuman,Hanuman,Free-standing,1,,434,0
1217,25.326907,83.000733,"Siva,Hanuman","Hanuman,Shiva","Hanuman,Shaiva",Free-standing,2,,642,0
1218,25.327805,83.001548,"Siva,Other","Other,Shiva","Other,Shaiva","Free-standing,Tree,Temple complex",4,,605,0
1219,25.329317,83.001464,Siva,Shiva,Shaiva,Free-standing,1,,480,0
1220,25.329307,83.001448,Other,Other,Other,Tree-temple,1,,480,0
1221,25.329401,83.001228,"Other,Hanuman","Hanuman,Other","Hanuman,Other",Free-standing,3,,456,0
1222,25.329076,83.004426,Siva,Shiva,Shaiva,Free-standing,1,,538,0
1223,25.331223,83.002899,"Siva,Other","Other,Shiva","Other,Shaiva",Built into a wall,2,,518,0
1224,25.333932,83.001039,"Siva,Other","Other,Shiva","Other,Shaiva",Free-standing,2,,330,0
1225,25.333766,83.003284,"Hanuman,Siva,Ganesh","Ganesh,Hanuman,Shiva","Ganesh,Hanuman,Shaiva",Free-standing,4,,544,0
1226,25.334258,83.003278,"Other,Siva","Other,Shiva","Other,Shaiva",Free-standing,2,,556,0
1227,25.326942,83.004832,Hanuman,Hanuman,Hanuman,Built into a wall,1,,367,0
1228,25.326626,83.004197,Rama family,Rama,Vaishnava,Tree,1,,415,0
1229,25.326752,83.00469,Siva family,Shiva family,Shaiva,Tree,3,,372,0
1230,25.326819,83.004692,Siva,Shiva,Shaiva,Free-standing,1,,375,0
1231,25.326825,83.005045,Siva,Shiva,Shaiva,Free-standing,1,,342,0
1232,25.327067,83.006003,"Siva,Hanuman","Hanuman,Shiva","Hanuman,Shaiva",Tree-temple,3,,271,0
1233,25.326992,83.00746,"Hanuman,Siva","Hanuman,Shiva","Hanuman,Shaiva",Free-standing,2,,170,0
1234,25.326398,83.009103,Siva,Shiva,Shaiva,Free-standing,5,,100,0
1235,25.325748,83.010878,Hanuman,Hanuman,Hanuman,Built into a wall,1,,226,0
1236,25.326833,83.011149,Siva,Shiva,Shaiva,Free-standing,1,,287,3
1237,25.327173,83.011771,Hanuman,Hanuman,Hanuman,Tree-temple,1,,360,3
1238,25.327138,83.011771,Siva,Shiva,Shaiva,Free-standing,1,,358,3
1239,25.32711,83.011763,Siva,Shiva,Shaiva,Free-standing,4,,356,3
1240,25.327075,83.01172,Devi,Devi,Goddess,Free-standing,2,,350,3
1241,25.327086,83.01173,Hanuman,Hanuman,Hanuman,Free-standing,1,,352,3
1242,25.327086,83.011712,Siva family,Shiva family,Shaiva,Free-standing,4,,350,3
1243,25.327064,83.011706,"Siva,Other","Other,Shiva","Other,Shaiva",Free-standing,3,,349,3
1244,25.327058,83.011726,Siva,Shiva,Shaiva,Free-standing,1,,350,3
1245,25.327069,83.011648,"Siva,Other","Other,Shiva","Other,Shaiva",Free-standing,4,,344,3
1246,25.327031,83.011797,Siva,Shiva,Shaiva,Tree-temple,1,,355,3
1247,25.327221,83.01248,Hanuman,Hanuman,Hanuman,Free-standing,1,,426,0
1248,25.326512,83.012504,"Siva,Other,Hanuman,Ganesh","Ganesh,Hanuman,Other,Shiva","Ganesh,Hanuman,Other,Shaiva","Free-standing,Tree-temple,Temple complex",8,,402,2
1249,25.325552,83.012519,Siva,Shiva,Shaiva,Built into a wall,2,,391,0
1250,25.310734,82.979778,Hanuman,Hanuman,Hanuman,Free-standing,1,,104,0
1251,25.312903,82.977577,"Siva,Other","Other,Shiva","Other,Shaiva",Free-standing,2,,70,0
1252,25.312781,82.976619,Siva,Shiva,Shaiva,Free-standing,1,,26,0
1253,25.312872,82.976881,"Siva,Hanuman","Hanuman,Shiva","Hanuman,Shaiva",Free-standing,2,,54,0
1254,25.311755,82.97678,Siva,Shiva,Shaiva,Free-standing,1,,64,0
1255,25.310876,82.976539,Siva,Shiva,Shaiva,"Tree,Built-around",1,,143,0
1256,25.310475,82.974972,"Siva family,Hanuman,Ganesh","Ganesh,Hanuman,Shiva family","Ganesh,Hanuman,Shaiva",Free-standing,5,,155,0
1257,25.310097,82.976369,Siva family,Shiva family,Shaiva,Free-standing,3,,212,0
1258,25.310478,82.977759,"Hanuman,Devi","Devi,Hanuman","Goddess,Hanuman","Free-standing,Tree-temple",3,,236,0
1259,25.308367,82.979131,Hanuman,Hanuman,Hanuman,Built-around,1,,335,0
1260,25.307619,82.980167,Siva,Shiva,Shaiva,"Free-standing,Tree-temple",2,,349,0
1261,25.307277,82.980782,"Siva,Hanuman","Hanuman,Shiva","Hanuman,Shaiva",Free-standing,2,,369,0
1262,25.326071,82.994532,"Siva,gramadevata,Hanuman","Hanuman,Shiva,Village deity","Folk,Hanuman,Shaiva","Tree,Tree-temple",8,,405,0
1263,25.324025,82.99476,"Siva,Hanuman","Hanuman,Shiva","Hanuman,Shaiva",Built into a wall,2,,179,0
1264,25.323863,82.998197,Hanuman,Hanuman,Hanuman,"Free-standing,Tree",1,,233,0
1265,25.323891,82.998159,Siva,Shiva,Shaiva,"Tree,Tree-temple",1,,233,0
1266,25.323624,82.998227,Hanuman,Hanuman,Hanuman,"Free-standing,Tree",1,,217,0
1267,25.316962,83.014999,"Siva,Siva-Parvati,Siva family","Shiva,Shiva family,Shiva-Parvati",Shaiva,Built into a wall,2,,299,3
1268,25.317804,83.012509,__ Bir Baabaa,Bir Baba,Folk,Free-standing,1,Narva vir baba,239,0
1269,25.317418,83.014774,"Siva-Parvati,Siva family","Shiva family,Shiva-Parvati",Shaiva,Tree-temple,0,,245,3
1270,25.317733,83.01502,Siva-Parvati,Shiva-Parvati,Shaiva,Built into a wall,1,,216,3
1271,25.317845,83.015415,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,216,3
1272,25.317853,83.015394,Hanuman,Hanuman,Hanuman,Built into a wall,1,Bal rup hanuman mandir,214,3
1273,25.318001,83.015375,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,4,,198,3
1274,25.317924,83.015495,"__ Maa,Devi","Devi,Local Maa",Goddess,Built into a wall,2,,211,3
1275,25.317872,83.015803,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,230,3
1276,25.318156,83.01603,Ganesh,Ganesh,Ganesh,Built into a wall,1,,218,3
1277,25.318143,83.016014,Hanuman,Hanuman,Hanuman,Built into a wall,1,,218,3
1278,25.318044,83.016038,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,228,3
1279,25.317829,83.016062,Hanuman,Hanuman,Hanuman,Built into a wall,1,,249,3
1280,25.317907,83.016079,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Free-standing,1,,243,3
1281,25.317852,83.015972,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Temple complex,1,,242,3
1282,25.31776,83.016039,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Temple complex,1,,254,3
1283,25.317749,83.015944,"RAMA,Rama-Sita,Rama family",Rama,Vaishnava,Free-standing,4,,250,3
1284,25.318004,83.015954,Hanuman,Hanuman,Hanuman,"Built into a wall,Free-standing",2,,227,3
1285,25.317648,83.015974,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,261,3
1286,25.31764,83.015757,Ganesh,Ganesh,Ganesh,Built into a wall,1,,251,3
1287,25.317559,83.015659,Sitla Maa,Sitala Maa,Goddess,Built into a wall,2,,254,3
1288,25.317494,83.016037,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,279,3
1289,25.317477,83.016018,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,279,3
1290,25.317514,83.016012,"Siva-Parvati,Siva","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,275,3
1291,25.31739,83.015902,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,282,3
1292,25.317675,83.016012,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,260,3
1293,25.317745,83.015933,Siva,Shiva,Shaiva,Temple complex,1,,249,3
1294,25.317712,83.015946,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,253,3
1295,25.317713,83.016067,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Temple complex,1,,260,3
1296,25.31764,83.016022,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,264,3
1297,25.317474,83.016081,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,283,3
1298,25.31753,83.016075,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Free-standing,1,,277,3
1299,25.317516,83.016101,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,280,3
1300,25.317468,83.016219,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Free-standing,2,Nawgraheshwar mahadev,291,3
1301,25.317512,83.016271,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,5,Shri dandpani bhairaw Ji maharaj,290,3
1302,25.317717,83.016108,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,262,3
1303,25.317507,83.016254,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,289,3
1304,25.317243,83.016389,"Siva,Siva-Parvati,Siva family","Shiva,Shiva family,Shiva-Parvati",Shaiva,Free-standing,4,,299,3
1305,25.317021,83.016224,Hanuman,Hanuman,Hanuman,Built into a wall,1,,288,3
1306,25.315891,83.01643,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,171,3
1307,25.315796,83.016368,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Free-standing,2,,166,3
1308,25.315818,83.016127,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Free-standing,3,,183,3
1309,25.315704,83.018924,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,4,3
1310,25.315411,83.018509,Hanuman,Hanuman,Hanuman,Built into a wall,1,,5,3
1311,25.315438,83.018373,"Siva,Siva-Parvati,Siva family","Shiva,Shiva family,Shiva-Parvati",Shaiva,Built into a wall,5,,16,3
1312,25.315429,83.018279,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Tree-temple,1,,22,3
1313,25.315556,83.018313,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,1,,30,3
1314,25.315424,83.018387,"Siva,Ganesh,Hanuman","Ganesh,Hanuman,Shiva","Ganesh,Hanuman,Shaiva",Temple complex,3,,14,3
1315,25.315367,83.018344,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Temple complex,2,,13,3
1316,25.315477,83.018347,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,3,,21,3
1317,25.315545,83.018314,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Temple complex,1,,29,3
1318,25.315638,83.018247,Siva,Shiva,Shaiva,Temple complex,1,,41,3
1319,25.301489,83.010294,"Siva,Siva family","Shiva,Shiva family",Shaiva,Built into a wall,4,,0,0
1320,25.31557,83.018389,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,5,,27,3
1321,25.315547,83.018451,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,4,,21,3
1322,25.31531,83.018542,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,5,,0,3
1323,25.315385,83.018553,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,6,,0,3
1324,25.315382,83.018511,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,3,,3,3
1325,25.315359,83.018488,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,4,,2,3
1326,25.315302,83.018446,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,"Built into a wall,Tree",2,,1,3
1327,25.315305,83.018449,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,4,,1,3
1328,25.315359,83.018315,"Siva,Siva-Parvati,Siva family","Shiva,Shiva family,Shiva-Parvati",Shaiva,Built into a wall,3,,16,3
1329,25.315262,83.018485,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,0,3
1330,25.315282,83.01843,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,4,,2,3
1331,25.315082,83.018444,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,0,3
1332,25.315088,83.018434,Siva,Shiva,Shaiva,Built into a wall,1,,0,3
1333,25.315066,83.018326,Siva,Shiva,Shaiva,Built into a wall,5,,0,3
1334,25.315113,83.018219,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,7,,8,3
1335,25.315049,83.01816,Ganesh,Ganesh,Ganesh,Built into a wall,2,,7,3
