id,latitude,longitude,deities_recorded,deity_groups,families,structure,images_present,temple_name,distance_to_ganga_m,hotspot_class
1387,25.316822,83.020379,"Siva,Siva-Parvati,Siva family","Shiva,Shiva family,Shiva-Parvati",Shaiva,Built into a wall,3,,9,3
1388,25.316855,83.020351,Other,Other,Other,Built into a wall,1,,13,3
1389,25.316809,83.020347,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,11,3
1390,25.316911,83.020338,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,17,3
1391,25.316854,83.020351,Hanuman,Hanuman,Hanuman,Built into a wall,1,,13,3
1392,25.316878,83.020299,Siva,Shiva,Shaiva,Built into a wall,1,,19,3
1393,25.316827,83.020343,Siva,Shiva,Shaiva,Built into a wall,1,,12,3
1394,25.316811,83.020267,Siva,Shiva,Shaiva,Built into a wall,1,,18,3
1395,25.316842,83.020191,Siva,Shiva,Shaiva,Built into a wall,1,,26,3
1396,25.316849,83.020263,Siva,Shiva,Shaiva,Built into a wall,1,,21,3
1397,25.316899,83.020245,Siva,Shiva,Shaiva,Built into a wall,1,,25,3
1398,25.316898,83.020219,"Siva,Siva-Parvati","Shiva,Shiva-Parvati",Shaiva,Built into a wall,2,,27,3
